latitude,longitude,datetime
71.23324,-144.86992,2021-03-06 23:10:25
71.23344,-144.87320,2021-03-06 23:20:25
71.23363,-144.87646,2021-03-06 23:30:25
71.23383,-144.87975,2021-03-06 23:40:25
71.23403,-144.88300,2021-03-06 23:50:25
71.23423,-144.88634,2021-03-07 00:00:54
71.23441,-144.88940,2021-03-07 00:10:29
71.23460,-144.89255,2021-03-07 00:20:25
71.23479,-144.89571,2021-03-07 00:30:25
71.23496,-144.89886,2021-03-07 00:40:25
71.23514,-144.90196,2021-03-07 00:50:25
71.23531,-144.90504,2021-03-07 01:00:25
71.23548,-144.90811,2021-03-07 01:10:27
71.23565,-144.91115,2021-03-07 01:20:28
71.23582,-144.91414,2021-03-07 01:30:27
71.23599,-144.91713,2021-03-07 01:40:26
71.23617,-144.92006,2021-03-07 01:50:25
71.23634,-144.92299,2021-03-07 02:00:24
71.23651,-144.92593,2021-03-07 02:10:25
71.23669,-144.92880,2021-03-07 02:20:26
71.23687,-144.93167,2021-03-07 02:30:27
71.23705,-144.93454,2021-03-07 02:40:26
71.23723,-144.93739,2021-03-07 02:50:26
71.23742,-144.94026,2021-03-07 03:00:26
71.23761,-144.94312,2021-03-07 03:10:27
71.23781,-144.94597,2021-03-07 03:20:26
71.23801,-144.94885,2021-03-07 03:30:27
71.23820,-144.95168,2021-03-07 03:40:55
71.23839,-144.95433,2021-03-07 03:50:26
71.23860,-144.95712,2021-03-07 04:00:26
71.23882,-144.95993,2021-03-07 04:10:26
71.23904,-144.96275,2021-03-07 04:20:26
71.23924,-144.96558,2021-03-07 04:30:27
71.23946,-144.96841,2021-03-07 04:40:28
71.23969,-144.97122,2021-03-07 04:50:26
71.23994,-144.97398,2021-03-07 05:00:26
71.24010,-144.97699,2021-03-07 05:10:54
71.24031,-144.97969,2021-03-07 05:20:26
71.24053,-144.98253,2021-03-07 05:30:26
71.24076,-144.98535,2021-03-07 05:40:26
71.24099,-144.98820,2021-03-07 05:50:27
71.24123,-144.99107,2021-03-07 06:00:26
71.24145,-144.99393,2021-03-07 06:10:26
71.24168,-144.99677,2021-03-07 06:20:26
71.24190,-144.99954,2021-03-07 06:30:25
